Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
VPT,terra_incognita,4,47.3,33,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/4/seed_2/warmup_1/log.txt
VPT,terra_incognita,4,47.0,43,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/4/seed_3/warmup_1/log.txt
VPT,terra_incognita,4,46.2,28,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
VPT,terra_incognita,3,55.7,22,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/3/seed_2/warmup_1/log.txt
VPT,terra_incognita,3,57.0,46,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/3/seed_3/warmup_1/log.txt
VPT,terra_incognita,3,54.5,36,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
VPT,terra_incognita,2,57.8,10,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/2/seed_2/warmup_1/log.txt
VPT,terra_incognita,2,54.5,22,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/2/seed_3/warmup_1/log.txt
VPT,terra_incognita,2,57.4,26,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
VPT,terra_incognita,1,51.4,8,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/1/seed_2/warmup_1/log.txt
VPT,terra_incognita,1,49.5,40,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/1/seed_3/warmup_1/log.txt
VPT,terra_incognita,1,55.0,39,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/VPT/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
Dual,pacs,p,99.9,4,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/pacs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
Dual,pacs,a,98.2,5,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
Dual,pacs,s,92.3,12,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
Dual,pacs,c,99.1,3,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
Dual,vlcs,p,87.9,3,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/vlcs/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
Dual,vlcs,s,83.0,48,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
Dual,vlcs,c,99.9,2,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
Dual,vlcs,l,67.4,12,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
Dual,office_home,r,90.9,2,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/office_home/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
Dual,office_home,p,91.4,2,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/office_home/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
Dual,office_home,a,82.8,43,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
Dual,office_home,c,74.3,10,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
Dual,terra_incognita,4,49.1,21,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
Dual,terra_incognita,3,54.2,34,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
Dual,terra_incognita,2,59.4,48,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
Dual,terra_incognita,1,53.4,48,/workspace/Soft-Prompt-Generation/outputs_baseline/baseline/Dual/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
