Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,vlcs,c,99.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_tempaltes/CoOp/vlcs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,vlcs,l,64.9,34,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_tempaltes/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
CoOp,pacs,a,98.1,8,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_templates/CoOp/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,pacs,s,90.9,4,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_templates/CoOp/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,pacs,c,99.1,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_templates/CoOp/pacs/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,office_home,a,83.0,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_templates/CoOp/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,terra_incognita,1,49.5,3,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_templates/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
