Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,office_home,c,73.8,7.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/office_home/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,office_home,c,74.1,7.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,domainnet,r,84.4,2.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/r/seed_2/warmup_1/log.txt
CoOp,domainnet,r,84.3,4.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/r/seed_3/warmup_1/log.txt
CoOp,domainnet,r,84.2,2.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/r/seed_1/warmup_1/log.txt
CoOp,domainnet,p,68.6,5.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/p/seed_2/warmup_1/log.txt
CoOp,domainnet,p,68.6,3.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/p/seed_3/warmup_1/log.txt
CoOp,domainnet,p,68.8,13.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/p/seed_1/warmup_1/log.txt
CoOp,domainnet,q,16.6,6.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/q/seed_2/warmup_1/log.txt
CoOp,domainnet,q,16.8,4.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/q/seed_3/warmup_1/log.txt
CoOp,domainnet,q,17.0,6.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/q/seed_1/warmup_1/log.txt
CoOp,domainnet,s,66.9,11.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/s/seed_2/warmup_1/log.txt
CoOp,domainnet,s,66.3,6.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/s/seed_3/warmup_1/log.txt
CoOp,domainnet,s,66.6,21.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,domainnet,i,50.5,6.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/i/seed_2/warmup_1/log.txt
CoOp,domainnet,i,51.1,3.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/i/seed_3/warmup_1/log.txt
CoOp,domainnet,i,50.9,19.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/i/seed_1/warmup_1/log.txt
CoOp,domainnet,c,73.3,3.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/c/seed_2/warmup_1/log.txt
CoOp,domainnet,c,72.8,36.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,domainnet,c,73.4,19.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/domainnet/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,terra_incognita,4,47.3,33.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_2/warmup_1/log.txt
CoOp,terra_incognita,4,42.7,17.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_3/warmup_1/log.txt
CoOp,terra_incognita,4,47.1,44.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
CoOp,terra_incognita,3,51.6,16.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/3/seed_2/warmup_1/log.txt
CoOp,terra_incognita,3,51.7,29.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/3/seed_3/warmup_1/log.txt
CoOp,terra_incognita,3,50.9,29.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
CoOp,terra_incognita,2,56.6,15.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_2/warmup_1/log.txt
CoOp,terra_incognita,2,52.1,22.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_3/warmup_1/log.txt
CoOp,terra_incognita,2,60.4,13.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
CoOp,terra_incognita,1,55.6,32.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_2/warmup_1/log.txt
CoOp,terra_incognita,1,52.7,40.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_3/warmup_1/log.txt
CoOp,terra_incognita,1,46.9,41.0,/workspace/Soft-Prompt-Generation/outputs_baseline/multi-dg/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
