Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,vlcs,s,76.5,7,/workspace/Soft-Prompt-Generation/outputs_baseline/no_kl/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,vlcs,l,74.8,10,/workspace/Soft-Prompt-Generation/outputs_baseline/no_kl/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
CoOp,office_home,a,80.3,1,/workspace/Soft-Prompt-Generation/outputs_baseline/no_kl/CoOp/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,terra_incognita,2,58.1,7,/workspace/Soft-Prompt-Generation/outputs_baseline/no_kl/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
CoOp,terra_incognita,1,55.2,13,/workspace/Soft-Prompt-Generation/outputs_baseline/no_kl/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
