Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,pacs,a,N/A,N/A,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/pacs/b32_ep50/ViT-B16/a/seed_2/warmup_1/log.txt
CoOp,pacs,a,98.4,17,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/pacs/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,pacs,s,91.3,5,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,vlcs,s,80.5,10,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,vlcs,l,67.0,1,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
CoOp,office_home,a,83.1,19,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,terra_incognita,2,58.8,15,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
CoOp,terra_incognita,1,53.1,5,/workspace/Soft-Prompt-Generation/outputs_baseline/real_dongwon/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
