Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,office_home,c,74.8,22,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/c/seed_3/warmup_1/log.txt
CoOp,office_home,c,75.0,12,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-B16/c/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,94.2,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/r/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,94.1,6,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/r/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,94.2,2,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/r/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,94.7,41,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/p/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,94.7,14,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/p/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,94.7,8,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/p/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,88.2,5,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/a/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,87.5,3,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/a/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,87.9,11,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/a/seed_1/warmup_1/log.txt
CoOp,office_home,N/A,82.1,6,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/c/seed_2/warmup_1/log.txt
CoOp,office_home,N/A,82.2,9,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/c/seed_3/warmup_1/log.txt
CoOp,office_home,N/A,82.3,3,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/office_home/b32_ep50/ViT-L14/c/seed_1/warmup_1/log.txt
CoOp,terra_incognita,4,47.6,35,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_2/warmup_1/log.txt
CoOp,terra_incognita,4,47.1,28,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_3/warmup_1/log.txt
CoOp,terra_incognita,4,48.2,25,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
CoOp,terra_incognita,3,52.3,29,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/3/seed_2/warmup_1/log.txt
CoOp,terra_incognita,3,53.2,29,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/3/seed_3/warmup_1/log.txt
CoOp,terra_incognita,3,53.6,37,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
CoOp,terra_incognita,2,56.9,29,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_2/warmup_1/log.txt
CoOp,terra_incognita,2,57.9,28,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_3/warmup_1/log.txt
CoOp,terra_incognita,2,57.3,10,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
CoOp,terra_incognita,1,50.7,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_2/warmup_1/log.txt
CoOp,terra_incognita,1,46.6,20,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_3/warmup_1/log.txt
CoOp,terra_incognita,1,51.4,1,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
CoOp,terra_incognita,N/A,52.9,36,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/4/seed_2/warmup_1/log.txt
CoOp,terra_incognita,N/A,53.3,49,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/4/seed_3/warmup_1/log.txt
CoOp,terra_incognita,N/A,53.6,27,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/4/seed_1/warmup_1/log.txt
CoOp,terra_incognita,N/A,59.5,17,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/3/seed_2/warmup_1/log.txt
CoOp,terra_incognita,N/A,59.2,14,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/3/seed_3/warmup_1/log.txt
CoOp,terra_incognita,N/A,60.3,19,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/3/seed_1/warmup_1/log.txt
CoOp,terra_incognita,N/A,62.7,5,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/2/seed_2/warmup_1/log.txt
CoOp,terra_incognita,N/A,62.1,35,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/2/seed_3/warmup_1/log.txt
CoOp,terra_incognita,N/A,63.4,19,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/2/seed_1/warmup_1/log.txt
CoOp,terra_incognita,N/A,61.6,34,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/1/seed_2/warmup_1/log.txt
CoOp,terra_incognita,N/A,61.8,13,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/1/seed_3/warmup_1/log.txt
CoOp,terra_incognita,N/A,61.0,28,/workspace/Soft-Prompt-Generation/outputs_baseline/multi_prompt/CoOp/terra_incognita/b32_ep50/ViT-L14/1/seed_1/warmup_1/log.txt
