step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
8500,0.002735137939453125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.48046875,0.003173828125
8550,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.64453125,0.00313568115234375
8600,0.00263214111328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.35546875,0.003238677978515625
8650,0.002597808837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.63671875,0.0031948089599609375
8700,0.00255584716796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,2.65625,0.0031871795654296875
8750,0.002597808837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.25390625,0.0031528472900390625
8800,0.0025768280029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.90625,0.90625,0.90625,0.90625,3.619140625,0.003253936767578125
8850,0.0026760101318359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.73828125,0.0032176971435546875
8900,0.0026302337646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.169921875,0.003204345703125
8950,0.00264739990234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.458984375,0.0031890869140625
9000,0.00258636474609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,3.40234375,0.0032138824462890625
9050,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.544921875,0.00323486328125
9100,0.00260162353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.111328125,0.0032024383544921875
9150,0.00258636474609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.22265625,0.00318145751953125
9200,0.0027065277099609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.55859375,0.003223419189453125
9250,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.876953125,0.0031948089599609375
9300,0.00260162353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.884765625,0.0031909942626953125
9350,0.0025787353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.07421875,0.0031909942626953125
9400,0.002620697021484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.5859375,0.0031986236572265625
9450,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.59375,0.59375,0.59375,0.59375,2.59375,0.0031986236572265625
9500,0.002685546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.6015625,0.0031833648681640625
9550,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.03515625,0.0032291412353515625
9600,0.00260162353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.181640625,0.0032253265380859375
9650,0.0026569366455078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.970703125,0.00318145751953125
9700,0.0026340484619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.03515625,0.0031909942626953125
9750,0.0026302337646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.90625,0.0032176971435546875
9800,0.002613067626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.9453125,0.0032367706298828125
9850,0.0025882720947265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.55078125,0.0032100677490234375
9900,0.0026760101318359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.0,0.00323486328125
9950,0.0025844573974609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.5,0.0032253265380859375
10000,0.0025386810302734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.3359375,0.0032196044921875
10050,0.002635955810546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.85546875,0.003162384033203125
10100,0.002674102783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.693359375,0.003192901611328125
10150,0.0026149749755859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.2890625,0.003200531005859375
10200,0.0027141571044921875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.5625,0.5625,0.5625,0.5625,2.6953125,0.0032024383544921875
10250,0.0026302337646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.1796875,0.00318145751953125
10300,0.002685546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.876953125,0.0032482147216796875
10350,0.002552032470703125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.599609375,0.0032176971435546875
10400,0.002613067626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.357421875,0.0032367706298828125
10450,0.0026340484619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.830078125,0.0031833648681640625
10500,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.923828125,0.0032100677490234375
10550,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.689453125,0.0032634735107421875
10600,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.064453125,0.003246307373046875
10650,0.0025424957275390625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.84375,0.003223419189453125
10700,0.0025787353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.88671875,0.003238677978515625
10750,0.00255584716796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.46484375,0.0032405853271484375
10800,0.00263214111328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.193359375,0.0031871795654296875
10850,0.00260162353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.994140625,0.0031948089599609375
10900,0.002590179443359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.5,0.003215789794921875
10950,0.002635955810546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,3.099609375,0.003185272216796875
11000,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.740234375,0.0031833648681640625
11050,0.0025577545166015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.3046875,0.003200531005859375
11100,0.0026302337646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.40625,0.00319671630859375
11150,0.00260162353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.169921875,0.003200531005859375
11200,0.0026149749755859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.791015625,0.003192901611328125
11250,0.0026092529296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.060546875,0.0031719207763671875
11300,0.0025787353515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.611328125,0.0032367706298828125
11350,0.002613067626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.765625,0.0032672882080078125
11400,0.0026397705078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.953125,0.00318145751953125
11450,0.002628326416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.279296875,0.0032291412353515625
11500,0.002666473388671875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.642578125,0.0031986236572265625
11550,0.0026493072509765625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.541015625,0.0031909942626953125
11600,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.53515625,0.0032444000244140625
11650,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.880859375,0.003204345703125
11700,0.0026111602783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,2.953125,0.00323486328125
11750,0.0025768280029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.328125,0.0032367706298828125
11800,0.0026073455810546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.82421875,0.00321197509765625
11850,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.59375,0.0032215118408203125
11900,0.00252532958984375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,4.21875,0.0032291412353515625
11950,0.00255584716796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.5,0.0031986236572265625
12000,0.0025310516357421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.8671875,0.0032176971435546875
12050,0.0025539398193359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,3.63671875,0.0031909942626953125
12100,0.0026302337646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.201171875,0.0032138824462890625
12150,0.002552032470703125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.90625,0.90625,0.90625,0.90625,3.65625,0.003208160400390625
12200,0.00264739990234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.66796875,0.003204345703125
12250,0.0025882720947265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.166015625,0.0032100677490234375
12300,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.83203125,0.00316619873046875
12350,0.0026531219482421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.875,0.0031948089599609375
12400,0.0026397705078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.5625,0.5625,0.5625,0.5625,2.7421875,0.00315093994140625
12450,0.0025959014892578125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.7578125,0.003185272216796875
12500,0.0026035308837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.919921875,0.003223419189453125
12550,0.002643585205078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.146484375,0.0031681060791015625
12600,0.002582550048828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.90625,0.90625,0.90625,0.90625,3.453125,0.0032215118408203125
12650,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.2890625,0.003231048583984375
12700,0.0025959014892578125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.07421875,0.003204345703125
12750,0.0026111602783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.919921875,0.0032024383544921875
12800,0.0026340484619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.818359375,0.003170013427734375
12850,0.0026874542236328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.7734375,0.003185272216796875
12900,0.0025959014892578125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,4.2421875,0.0032482147216796875
12950,0.0026760101318359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.7578125,0.0032176971435546875
13000,0.0026264190673828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.640625,0.0031833648681640625
13050,0.0026111602783203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.748046875,0.0032558441162109375
13100,0.0026454925537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,2.8671875,0.0032176971435546875
13150,0.0025730133056640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,4.05859375,0.0032501220703125
13200,0.0026264190673828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.634765625,0.0031909942626953125
13250,0.002597808837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.099609375,0.003185272216796875
13300,0.0026397705078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.18359375,0.0032024383544921875
13350,0.0025920867919921875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,2.875,0.0031871795654296875
13400,0.002655029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.1875,0.0031585693359375
13450,0.0026721954345703125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.970703125,0.00318145751953125
13500,0.002597808837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.41796875,0.003200531005859375
13550,0.0026702880859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.732421875,0.003177642822265625
13600,0.00261688232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.546875,0.003208160400390625
13650,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.6171875,0.003173828125
13700,0.002597808837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.21484375,0.0031909942626953125
13750,0.0025768280029296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.28515625,0.0032176971435546875
13800,0.00264739990234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.6640625,0.003192901611328125
13850,0.0026569366455078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.38671875,0.0031719207763671875
13900,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.1328125,0.003185272216796875
13950,0.002593994140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.20703125,0.003192901611328125
14000,0.0026397705078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.53125,0.0031757354736328125
14050,0.002559661865234375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.4765625,0.0032253265380859375
14100,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.474609375,0.003173828125
14150,0.0026454925537109375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.83984375,0.0031890869140625
14200,0.0026092529296875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.619140625,0.00318145751953125
14250,0.0025806427001953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.666015625,0.003215789794921875
14300,0.0025653839111328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.4765625,0.0031833648681640625
14350,0.002643585205078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.087890625,0.0031890869140625
