step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
1500,0.0026912689208984375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.654296875,0.0031871795654296875
1550,0.0026645660400390625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.314453125,0.0031719207763671875
1600,0.0026264190673828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.96875,0.0032291412353515625
1650,0.0026798248291015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.484375,0.0031681060791015625
1700,0.002605438232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.40625,0.0032138824462890625
1750,0.002635955810546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.109375,0.0032062530517578125
1800,0.0027141571044921875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.90625,0.0032100677490234375
1850,0.002628326416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.91796875,0.00319671630859375
1900,0.0027027130126953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.447265625,0.003173828125
1950,0.002666473388671875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.5625,0.5625,0.5625,0.5625,2.53125,0.003170013427734375
2000,0.0026645660400390625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.52734375,0.003208160400390625
2050,0.0027332305908203125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.5,0.5,0.5,0.5,2.298828125,0.003170013427734375
2100,0.002651214599609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.84765625,0.0031948089599609375
2150,0.0026340484619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.880859375,0.0031890869140625
2200,0.002689361572265625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.625,0.625,0.625,0.625,2.640625,0.00322723388671875
2250,0.0026798248291015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.0390625,0.003231048583984375
2300,0.00266265869140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.720703125,0.0032138824462890625
2350,0.0026226043701171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.640625,0.0031719207763671875
2400,0.0026874542236328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.5703125,0.0032196044921875
2450,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.4765625,0.0031490325927734375
2500,0.002628326416015625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.875,0.875,0.875,0.875,2.80078125,0.003162384033203125
2550,0.002696990966796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.6171875,0.0032215118408203125
2600,0.002704620361328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.076171875,0.003147125244140625
2650,0.0026264190673828125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,2.93359375,0.0032215118408203125
2700,0.002635955810546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.482421875,0.00315093994140625
2750,0.002605438232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.759765625,0.003200531005859375
