Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
CoOp,pacs,s,91.7,22,/workspace/Soft-Prompt-Generation/outputs_baseline/dongwon_one/CoOp/pacs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,vlcs,s,81.0,8,/workspace/Soft-Prompt-Generation/outputs_baseline/dongwon_one/CoOp/vlcs/b32_ep50/ViT-B16/s/seed_1/warmup_1/log.txt
CoOp,vlcs,l,70.9,1,/workspace/Soft-Prompt-Generation/outputs_baseline/dongwon_one/CoOp/vlcs/b32_ep50/ViT-B16/l/seed_1/warmup_1/log.txt
CoOp,office_home,a,83.1,6,/workspace/Soft-Prompt-Generation/outputs_baseline/dongwon_one/CoOp/office_home/b32_ep50/ViT-B16/a/seed_1/warmup_1/log.txt
CoOp,terra_incognita,1,47.4,12,/workspace/Soft-Prompt-Generation/outputs_baseline/dongwon_one/CoOp/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
