Wall time,Step,Value
1761635141.3561625,0,0.0
1761635158.7232187,1,0.09783935546875
1761635175.7889068,2,0.1163330078125
1761635192.226467,3,0.10589599609375
1761635209.0100913,4,0.0982666015625
1761635226.3372998,5,0.09197998046875
1761635243.598102,6,0.090576171875
1761635260.8686569,7,0.08465576171875
1761635278.0045776,8,0.08038330078125
1761635294.419124,9,0.077392578125
1761635311.0696862,10,0.07373046875
1761635328.374558,11,0.07318115234375
1761635345.2808084,12,0.072265625
1761635362.209251,13,0.07080078125
1761635379.1003816,14,0.0694580078125
1761635396.1615672,15,0.067626953125
1761635413.3888173,16,0.0660400390625
1761635430.292312,17,0.06439208984375
1761635447.0401025,18,0.0628662109375
1761635464.4088564,19,0.06134033203125
