Wall time,Step,Value
1761633819.6390107,0,0.0
1761633870.9987037,1,0.2008056640625
1761633922.047529,2,0.1927490234375
1761633972.8344982,3,0.175537109375
1761634023.4420226,4,0.1646728515625
1761634073.9020708,5,0.153076171875
1761634125.2945092,6,0.1434326171875
1761634171.7893243,7,0.1380615234375
1761634221.8097959,8,0.130126953125
1761634271.3956597,9,0.125732421875
1761634321.0778353,10,0.12188720703125
1761634368.3833237,11,0.11944580078125
1761634417.9856346,12,0.117431640625
1761634463.6836855,13,0.1151123046875
1761634515.667833,14,0.11260986328125
1761634564.9314892,15,0.11083984375
1761634611.2970717,16,0.1092529296875
1761634656.2607477,17,0.10723876953125
1761634706.3201547,18,0.10504150390625
1761634755.9719267,19,0.10284423828125
