Wall time,Step,Value
1761563011.3238397,0,0.0
1761563032.1442196,1,0.1771240234375
1761563052.4716783,2,0.1558837890625
1761563072.963483,3,0.1373291015625
1761563093.7566624,4,0.12310791015625
1761563113.8115907,5,0.1126708984375
1761563134.754183,6,0.1033935546875
1761563156.3464165,7,0.09710693359375
1761563176.8438153,8,0.09234619140625
1761563196.907223,9,0.08782958984375
1761563217.8654692,10,0.08404541015625
1761563238.459269,11,0.0806884765625
1761563258.0931726,12,0.07763671875
1761563278.853228,13,0.07452392578125
1761563300.2970245,14,0.07208251953125
1761563320.665283,15,0.0693359375
1761563340.198946,16,0.06707763671875
1761563361.286256,17,0.06494140625
1761563381.7567284,18,0.0628662109375
1761563401.3450472,19,0.0609130859375
