Step,Prompt_Variance,Test_Accuracy
0,0.0,79.85166931152344
1,0.062408447265625,82.57107543945312
2,0.07080078125,82.98310852050781
3,0.066650390625,83.60115051269531
4,0.06524658203125,84.17799377441406
5,0.06463623046875,83.43634033203125
6,0.06414794921875,83.51874542236328
7,0.06488037109375,82.8594970703125
8,0.0635986328125,83.27153015136719
9,0.062225341796875,83.60115051269531
10,0.060821533203125,83.06551361083984
11,0.061126708984375,83.84837341308594
12,0.060882568359375,83.55995178222656
13,0.060791015625,83.35393524169922
14,0.061248779296875,83.35393524169922
15,0.060882568359375,83.06551361083984
16,0.0601806640625,83.47754669189453
17,0.05938720703125,83.14791870117188
18,0.058502197265625,83.31272888183594
19,0.057525634765625,83.2303237915039
