Wall time,Step,Value
1761563641.1770928,0,0.0
1761563670.2749474,1,0.062408447265625
1761563700.4283116,2,0.07080078125
1761563729.9633021,3,0.066650390625
1761563755.5308418,4,0.06524658203125
1761563778.941858,5,0.06463623046875
1761563801.888202,6,0.06414794921875
1761563823.917706,7,0.06488037109375
1761563846.9282012,8,0.0635986328125
1761563867.7223313,9,0.062225341796875
1761563889.099796,10,0.060821533203125
1761563910.5629175,11,0.061126708984375
1761563933.3679235,12,0.060882568359375
1761563956.2004762,13,0.060791015625
1761563979.1249712,14,0.061248779296875
1761564001.4857764,15,0.060882568359375
1761564023.7691507,16,0.0601806640625
1761564047.5095918,17,0.05938720703125
1761564070.5240083,18,0.058502197265625
1761564092.3667326,19,0.057525634765625
